,Banyo Sayısı,Bina Yaşı,Brüt Metrekare,Cinsi,Dairenin Katı,Depozito,Eşya Durumu,Isıtma,Kat Sayısı,Kategori,Kullanım Durumu,Net Metrekare,Oda Sayısı,Salon Metrekare,Site İçerisinde,Takas,Türü,WC Sayısı,Yapı Durumu,Yapı Tipi,İlan Numarası,İlan Tarihi,district,county,Title,price
35347,-,-,180m,,-,3000 TRY,-,-,5,Kiralık,-,165m,-,-,Hayır,-,Daire,-,-,-,6895954,31.01.2019,Güzeloba Mahallesi',Muratpaşa,Güzeloba örnekköyde eşyalı 3+1 kiralık daire,3.000 TL
35348,-,-,105m,,-,2000 TRY,-,-,5,Kiralık,-,90m,-,-,Hayır,-,Daire,-,-,-,6895772,31.01.2019,Güzeloba Mahallesi',Muratpaşa,Güzeloba örnekköyde eşyalı 2+1 kiralık daire,2.000 TL
35349,-,-,70m,,-,1500 TRY,-,-,5,Kiralık,-,60m,-,-,Hayır,-,Daire,-,-,-,6895878,31.01.2019,Güzeloba Mahallesi',Muratpaşa,Güzeloba örnekköyde eşyalı 1+1 kiralık daire,1.500 TL
35350,-,-,125m,,-,3000 TRY,-,-,2,Kiralık,-,110m,-,-,Hayır,-,Daire,-,-,-,6894736,31.01.2019,Güzeloba Mahallesi',Muratpaşa,Lara güzelobada lüx sitede 2+1 eşyalı kiralık daire,3.000 TL
35351,-,-,170m,,-,4000 TRY,-,-,4,Kiralık,-,170m,-,-,Hayır,-,Daire,-,-,-,5639514,01.02.2019,Uncalı Mahallesi',Konyaaltı,Antalya konyaaltı uncalı konaklar böl havuzlu kiralık 3+1 daire,4.000 TL
35352,-,-,170m,,-,1700 TRY,-,-,8,Kiralık,-,150m,-,-,Hayır,-,Daire,-,-,-,6893647,01.02.2019,Pınarbaşı Mahallesi',Konyaaltı,Antalya konyaaltı pınarbaşı mahallesinde kiralık 3+1 daire,1.700 TL
35353,-,-,100m,,-,1800 TRY,-,-,4,Kiralık,-,96m,-,-,Hayır,-,Daire,-,-,-,6886401,01.02.2019,Liman Mahallesi',Konyaaltı,Konyaaltı limanda havuzlu sauna fitnıs 2+1 full eşyalı kiralık d,1.800 TL
35354,1,5-10,95m,,1. Kat,2000 TRY,-,Klimalı,2,Kiralık,Boş,85m,2+1,25 m,Hayır,Yok,Daire,2,İkinci El,Betonarme,6893182,31.01.2019,Güzeloba Mahallesi',Muratpaşa,Güzeloba pazar yakını 2+1 katta boş daire,1.400 TL
35355,-,-,100m,,-,1800 TRY,-,-,4,Kiralık,-,96m,-,-,Hayır,-,Daire,-,-,-,6893678,01.02.2019,Liman Mahallesi',Konyaaltı,Konyaaltı limanda havuzlu sauna fitnıs 2+1 eşyalı kiralık daire,1.800 TL
35356,-,-,115m,,-,-,-,-,10,Kiralık,-,110m,-,-,Hayır,-,Daire,-,-,-,6891370,01.02.2019,Cikcilli Mahallesi',Alanya,Lüks site içersinde kiralık 2+1 amerikan mutfak daire,1.250 TL
35357,1,0 (Yeni),110m,,6. Kat,1000 TRY,-,Klimalı,12,Kiralık,Boş,110m,2+1,-,Hayır,Yok,Daire,2,Sıfır,Taş Bina,6891498,01.02.2019,Mahmutlar Mahallesi',Alanya,Kiralık rezidans mahmutlarda 1000 tl 2+1 sıfır 6 kat,1.000 TL
35358,-,-,85m,,-,600 TRY,-,-,3,Kiralık,-,85m,-,-,Hayır,-,Daire,-,-,-,6637989,01.02.2019,Kuzeyyaka Mahallesi',Kepez,Kepez kuzeyyaka da cadde üstü 2+1 kiralık y  giris,600 TL
35359,-,-,55m,,-,1200 TRY,-,-,4,Kiralık,-,50m,-,15 m,Hayır,-,Daire,-,-,-,6890328,01.02.2019,Kültür Mahallesi',Kepez,Kültürde eşyalı kiralık daire 1+1 katta,1.200 TL
35360,-,-,55m,,-,550 TRY,-,-,4,Kiralık,-,50m,-,10 m,Hayır,-,Daire,-,-,-,6890373,01.02.2019,Ahatlı Mahallesi',Kepez,Bu fiyata kaçmaz ahatlı mah  bodrum kat eşyasız,550 TL
35361,-,-,90m,,-,-,-,-,5,Kiralık,-,80m,-,-,Hayır,-,Daire,-,-,-,6891229,01.02.2019,Altınkum Mahallesi',Konyaaltı,Konyaaltı uluçda 1+1 80m2 düz giriş eşyalı kiralık daire,1.150 TL
35362,-,-,180m,,-,1200 TRY,-,-,2,Kiralık,-,135m,-,22 m,Hayır,-,Daire,-,-,-,6890062,01.02.2019,Uluç Mahallesi',Konyaaltı,Antalya konyaaltı uluç kiralık dublex 3+1,1.200 TL
35363,-,-,130m,,-,650 TRY,-,-,4,Kiralık,-,120m,-,-,Hayır,-,Daire,-,-,-,6887816,01.02.2019,Varsak Karşıyaka Mahallesi',Kepez,Asansörlü yüzme havuzlu sit e 24 saat kameralı,650 TL
35364,-,-,160m,,-,-,-,-,3,Kiralık,-,160m,-,-,Hayır,-,Daire,-,-,-,6672294,02.02.2019,Avsallar Mahallesi',Alanya,Alanya avsallar fuğla plajında deniz manzaralı villa,3.000 TL
35365,-,-,140m,,-,1450 TRY,-,-,2,Kiralık,-,130m,-,-,Hayır,-,Daire,-,-,-,6887147,31.01.2019,Güzeloba Mahallesi',Muratpaşa,Güzelobada çok geniş eşyalı 2+1 daire,1.450 TL
35366,1,5-10,66m,,2. Kat,-,-,Klimalı,3,Kiralık,Boş,65m,1+1,-,Hayır,Yok,Daire,1,İkinci El,Betonarme,6888822,02.02.2019,Side Mahallesi',Manavgat,Antalya manavgat side de kiralık 1+1 apart daire,900 TL
35367,1,11-20,100m,,Yüksek giriş,1000 TRY,-,Klimalı,4,Kiralık,Boş,90m,2+1,-,Hayır,-,Daire,-,-,-,6889101,01.02.2019,Memurevleri Mahallesi',Muratpaşa,2+1 kiralık eşyali daire yüksek giris memur evleri,1.000 TL
35368,1,5-10,100m,,Kot 3,1000 TRY,-,Klimalı,5,Kiralık,Boş,95m,2+1,-,Hayır,-,Daire,-,-,-,6889105,01.02.2019,Kızılarık Mahallesi',Muratpaşa,Kızılarikta 2+1 eşyali daire,1.000 TL
35369,-,-,85m,,-,-,-,-,5,Kiralık,-,75m,-,-,Hayır,-,Daire,-,-,-,6888013,01.02.2019,Altınkum Mahallesi',Konyaaltı,Konyaaltı pınarbaşında 0 yüksek giriş daire,1.100 TL
35370,1,11-20,150m,,Kot 3,1400 TRY,-,Klimalı,5,Kiralık,Boş,130m,3+1,-,Hayır,-,Daire,-,-,-,6889097,01.02.2019,Memurevleri Mahallesi',Muratpaşa,3+1 ful eşyalı daire memur evleri,1.400 TL
35371,1,11-20,160m,,5. Kat,2250 TRY,-,Klimalı,6,Kiralık,Boş,150m,3+1,35 m,Hayır,Yok,Daire,1,İkinci El,Betonarme,6762882,31.01.2019,Güzeloba Mahallesi',Muratpaşa,Güzeloba lara örnekköy lüks eşyalı kiralık daire,2.250 TL
35372,1,11-20,160m,,5. Kat,2250 TRY,-,Klimalı,6,Kiralık,Boş,150m,3+1,35 m,Hayır,Yok,Daire,1,İkinci El,Betonarme,6763051,31.01.2019,Güzeloba Mahallesi',Muratpaşa,Güzeloba lara havuzlu site içinde kiralık lüks daire,2.250 TL
35373,-,-,65m,,-,1500 TRY,-,-,4,Kiralık,-,60m,-,-,Hayır,-,Daire,-,-,-,6885597,01.02.2019,Liman Mahallesi',Konyaaltı,Konyaaltı limanda havuzlu 1+1 lüks eşyalı kiralık daire,1.500 TL
35374,1,5-10,110m,,2. Kat,1500 TRY,-,Isıtma yok,4,Kiralık,Boş,90m,2+1,-,Hayır,-,Daire,-,-,-,6885001,01.02.2019,Öğretmenevleri Mahallesi',Konyaaltı,öğretmenevleri mahallesinde yola yakın önü açık 2 artı 1 kiralı,1.500 TL
35375,1,4,75m,,Yüksek giriş,750 TRY,-,Isıtma yok,5,Kiralık,Boş,80m,1+1,-,Hayır,-,Daire,-,-,-,6885230,01.02.2019,Hurma Mahallesi',Konyaaltı,Kiralık ev,750 TL
35376,-,-,65m,,-,1500 TRY,-,-,4,Kiralık,-,60m,-,-,Hayır,-,Daire,-,-,-,6885651,01.02.2019,Liman Mahallesi',Konyaaltı,Konyaaltı limanda denize sıfır havuzlu full eşyalı kiralık daire,1.500 TL
35377,Yok,2,115m,,4. Kat,-,-,Klimalı,5,Kiralık,Boş,115m,2+1,-,Hayır,-,Daire,-,-,-,6668541,01.02.2019,Liman Mahallesi',Konyaaltı,Sahibinden havuzlu türk hamamı saunalı full mobılyalı recidans,1.800 TL
35378,2,4,105m,,3. Kat,-,-,Klimalı,5,Kiralık,Boş,105m,2+1,-,Hayır,-,Daire,-,-,-,6670630,01.02.2019,Liman Mahallesi',Konyaaltı,Sahibinden denize çok yakın havuzlu türk hamamı saunalı,1.800 TL
35379,1,11-20,250m,,4. Kat,-,-,Klimalı,6,Kiralık,Boş,250m,4+1,-,Hayır,-,Daire,-,-,-,6631480,01.02.2019,Zerdalilik Mahallesi',Muratpaşa,Sampi kavşağı yakını cadde üzerinde 250m2 kiralık daire,3.000 TL
35380,-,-,160m,,-,1300 TRY,-,-,10,Kiralık,-,150m,-,-,Hayır,-,Daire,-,-,-,6803245,01.02.2019,Uncalı Mahallesi',Konyaaltı,Antalya konyaaltı uncalı mahallesi kiralık 3 + 1 daire,1.300 TL
35381,-,-,135m,,-,1800 TRY,-,-,3,Kiralık,-,135m,-,-,Hayır,-,Daire,-,-,-,6846732,01.02.2019,Çağlayan Mahallesi',Muratpaşa,Antalya lara çağlayan mah kiralık 3+1 eşylalı daire,1.800 TL
35382,2,11-20,230m,,2. Kat,5000 TRY,-,Klimalı,8,Kiralık,Boş,195m,5+1,-,Hayır,-,Daire,-,-,-,6883791,01.02.2019,Fener Mahallesi',Muratpaşa,Eski larada ful deniz manzarali5+1eşyalı,5.000 TL
35383,-,-,100m,,-,1200 TRY,-,-,2,Kiralık,-,90m,-,-,Hayır,-,Daire,-,-,-,6883069,31.01.2019,Güzeloba Mahallesi',Muratpaşa,Lara guzelobada dublex 2+1 kiralık daıre,1.200 TL
35384,1,5-10,65m,,Çatı Katı,1000 TRY,-,Klimalı,4,Kiralık,Boş,65m,1+1,-,Hayır,-,Daire,-,-,-,6609415,02.02.2019,Side Mahallesi',Manavgat,Huzurlu bir ev arayanlar buldunuz,1.000 TL
35385,-,-,120m,,-,-,-,-,7,Kiralık,-,110m,-,25 m,Hayır,-,Daire,-,-,-,6881261,02.02.2019,Altındağ Mahallesi',Muratpaşa,Antalya muratpaşa yüzüncüyıl caddesi yanı 120m2 asansörlü 750tl,750 TL
35386,-,-,160m,,-,2500 TRY,-,-,5,Kiralık,-,140m,-,-,Hayır,-,Daire,-,-,-,6880977,31.01.2019,Şirinyalı Mahallesi',Muratpaşa,Lara şirinyalı merkezde temiz eşyalı 2+1 kiralık daire,2.500 TL
35387,2,1,130m,,3. Kat,2750 TRY,-,Merkezi Doğalgaz,3,Kiralık,Boş,110m,2+1,-,Hayır,-,Daire,-,-,-,6882061,01.02.2019,Güzeloba Mahallesi',Muratpaşa,Lux site icinde 2+1 ayri mutfakli,2.750 TL
35388,-,-,150m,,-,-,-,-,8,Kiralık,-,149m,-,-,Hayır,-,Daire,-,-,-,6880988,01.02.2019,Mahmutlar Mahallesi',Alanya,Alanya mahmutlarda kiralık 3+1 eşyalı lüx dublex,2.000 TL
35389,1,3,95m,,Kot 3,750 TRY,-,Klimalı,5,Kiralık,Boş,95m,1+1,-,Hayır,-,Daire,1,-,-,6881153,01.02.2019,Hurma Mahallesi',Konyaaltı,1,750 TL
35390,-,-,150m,,-,2000 TRY,-,-,9,Kiralık,-,130m,-,-,Evet,-,Daire,-,-,-,6861738,01.02.2019,Yenigün Mahallesi',Muratpaşa,Yenigün de yeni dünya sitesinde 3+1 kiralık daire,2.000 TL
35391,2,11-20,170m,,3. Kat,1400 TRY,-,Isıtma yok,4,Kiralık,Boş,150m,2+1,-,Hayır,Yok,Daire,2,İkinci El,Betonarme,6877848,01.02.2019,Öğretmenevleri Mahallesi',Konyaaltı,Konyaaltı öğretmenevi mah  de kiralık dubleks daire,1.400 TL
35392,-,-,180m,,-,950 TRY,-,-,3,Kiralık,-,160m,-,35 m,Hayır,-,Daire,-,-,-,6879336,01.02.2019,Ahatlı Mahallesi',Kepez,Ahatlıda ulusoy caddesine yakın 160 m2 3+1 arakat,950 TL
35393,1,0 (Yeni),100m,,Kot 1,-,-,Isıtma yok,5,Kiralık,Boş,110m,2+1,-,Hayır,Yok,Daire,-,-,-,6878193,01.02.2019,Hurma Mahallesi',Konyaaltı,Sıfır daire,1.200 TL
35394,1,11-20,55m,,1. Kat,900 TRY,Eşyalı,Klimalı,4,Kiralık,Boş,54m,1+1,20 m,Hayır,Yok,Daire,1,İkinci El,Betonarme,6877621,01.02.2019,Oba Mahallesi',Alanya,Kiralık obagöl de 1+1 eşyalı daire 900 tl,900 TL
35395,-,-,200m,,-,4500 TRY,-,-,9,Kiralık,-,185m,-,-,Evet,-,Daire,-,-,-,6876633,31.01.2019,Fener Mahallesi',Muratpaşa,Laranın en nezih bölgesi deniz manzaralı 3+1 kiralık daire,4.500 TL
35396,-,-,165m,,-,-,-,-,9,Kiralık,-,150m,-,-,Hayır,-,Daire,-,-,-,6875726,01.02.2019,Liman Mahallesi',Konyaaltı,Liman da ayrı mutfaklı 165 m2 daire,1.200 TL
35397,1,2,75m,,Kot 2,2000 TRY,-,Merkezi Doğalgaz,5,Kiralık,Boş,65m,1+1,-,Hayır,-,Daire,-,-,-,6876214,01.02.2019,Liman Mahallesi',Konyaaltı,1+1 eşyali kiralik daire limanda,2.000 TL
35398,1,5-10,145m,,10. Kat,725 TRY,-,Klimalı,12,Kiralık,Boş,135m,3+1,23 m,Hayır,Yok,Daire,1,İkinci El,Betonarme,6875306,01.02.2019,Gebizli Mahallesi',Muratpaşa,Gebızlı mahde sıte ıçerisinde asansorlu kıralık daıre,700 TL
35399,-,-,65m,,-,1200 TRY,-,-,4,Kiralık,-,55m,-,-,Hayır,-,Daire,-,-,-,6874454,01.02.2019,Hurma Mahallesi',Konyaaltı,Life  gayrimenkulden  havuz  basi  luks  esyali  1+1daire,1.200 TL
35400,-,-,110m,,-,1000 TRY,-,-,4,Kiralık,-,90m,-,-,Hayır,-,Daire,-,-,-,6873912,01.02.2019,Hurma Mahallesi',Konyaaltı,Life gayrimenkulden ayrı mutfaklı genıs yuksek giriş 2+1 daire,1.000 TL
35401,-,-,60m,,-,-,-,-,4,Kiralık,-,55m,-,-,Hayır,-,Daire,-,-,-,6873249,01.02.2019,Pınarbaşı Mahallesi',Konyaaltı,Toros  mahallesinde  1+1  kiralık  boş  klimalı  daire,1.100 TL
35402,-,-,60m,,-,-,-,-,4,Kiralık,-,55m,-,-,Hayır,-,Daire,-,-,-,6873133,01.02.2019,Toros Mahallesi',Konyaaltı,Konyaaltı  torosda  sıfır  eşyalı  1+1  kiralık  daire,1.350 TL
35403,1,5-10,95m,,Yüksek giriş,550 TRY,-,Doğalgaz sobalı,5,Kiralık,Boş,90m,2+1,-,Hayır,Yok,Daire,1,İkinci El,-,6875061,01.02.2019,Varsak Karşıyaka Mahallesi',Kepez,Varsak karsiyakada ismail iltemir okuluna yakin giris 2+1 daire,550 TL
35404,-,-,60m,,-,-,-,-,4,Kiralık,-,55m,-,-,Hayır,-,Daire,-,-,-,6873073,01.02.2019,Toros Mahallesi',Konyaaltı,Konyaaltı  toros  mahallesinde  eşyalı  1+1  kiralık  daire,1.400 TL
35405,1,5-10,140m,,8. Kat,500 TRY,-,Doğalgaz sobalı,11,Kiralık,Boş,135m,3+1,-,Hayır,Yok,Daire,1,İkinci El,-,6875069,01.02.2019,Şelale Mahallesi',Kepez,Duden selalesine yurume mesafesinde katda uygun fiyata daire,500 TL
35406,-,-,75m,,-,-,-,-,3,Kiralık,-,75m,-,-,Hayır,-,Daire,-,-,-,6619397,02.02.2019,Side Mahallesi',Manavgat,Burak emlaktan kiralık daire,700 TL
35407,-,-,100m,,-,600 TRY,-,-,3,Kiralık,-,100m,-,-,Hayır,-,Daire,-,-,-,6617156,01.02.2019,Kuzeyyaka Mahallesi',Kepez,Kuzeyyaka mah  100 m2  2+1 2  kat daire,600 TL
35408,-,-,100m,,-,1650 TRY,-,-,4,Kiralık,-,96m,-,-,Hayır,-,Daire,-,-,-,6871611,01.02.2019,Hurma Mahallesi',Konyaaltı,Konyaaltı hurmada havuzlu 2+1 full eşyalı kiralık daire,1.650 TL
35409,-,-,120m,,-,1300 TRY,-,-,4,Kiralık,-,110m,-,-,Hayır,-,Daire,-,-,-,6872674,02.02.2019,Öğretmenevleri Mahallesi',Konyaaltı,öğretmenevlerinde doğal gaz kaloriferli  bakımlı kiralık 3+1 dair,1.300 TL
35410,-,-,160m,,-,-,-,-,10,Kiralık,-,160m,-,-,Evet,-,Daire,-,-,-,6871097,31.01.2019,Güzeloba Mahallesi',Muratpaşa,Güzelobada kaçırılmayacak fırsat 3+1 daire,1.500 TL
35411,-,-,110m,,-,-,-,-,8,Kiralık,-,100m,-,-,Hayır,-,Daire,-,-,-,6871286,01.02.2019,Liman Mahallesi',Konyaaltı,Konyaaltı  limanda  merkezi  konumda  2+1  eşyalı  kiralık,1.300 TL
35412,1,4,100m,,Kot 3,600 TRY,-,Doğalgaz sobalı,3,Kiralık,Boş,90m,2+1,-,Hayır,Yok,Daire,1,İkinci El,-,6871796,01.02.2019,Varsak Karşıyaka Mahallesi',Kepez,Varsak karsiyaka mahallesinde katda temiz 2+1 daire,600 TL
35413,-,-,60m,,-,-,-,-,4,Kiralık,-,50m,-,-,Hayır,-,Daire,-,-,-,6871490,01.02.2019,Hurma Mahallesi',Konyaaltı,Konyaaltı  uncalı  konaklar  bölgesinde  eşyalı  1+1  kiralık  da,1.350 TL
35414,-,-,85m,,-,550 TRY,-,-,3,Kiralık,-,85m,-,-,Hayır,-,Daire,-,-,-,6613999,01.02.2019,Kuzeyyaka Mahallesi',Kepez,Kuzey yakada kiralık yüksek giriş,550 TL
35415,1,11-20,110m,,1. Kat,-,-,Klimalı,2,Kiralık,Boş,109m,2+1,-,Hayır,Yok,Daire,-,İkinci El,-,6870396,31.01.2019,Emek Mahallesi',Kepez,Emek te kiralık katta 2+1 daire,800 TL
35416,2,11-20,280m,,2. Kat,-,-,-,10,Kiralık,Boş,280m,4+1,-,Hayır,-,Daire,-,-,-,6611703,01.02.2019,Gençlik Mahallesi',Muratpaşa,Gençlik mah  deniz gören 4+1 280m2,3.000 TL
35417,1,11-20,180m,,2. Kat,2500 TRY,-,Klimalı,2,Kiralık,Boş,165m,3+1,-,Hayır,Yok,Daire,2,İkinci El,Betonarme,6868579,01.02.2019,Gürsu Mahallesi',Konyaaltı,Konyaaltı gürsu da havuzlu sitede 3+1 mobilyalı daire,2.500 TL
35418,1,4,110m,,Çatı Katı,1200 TRY,-,Klimalı,5,Kiralık,Boş,100m,2+1,-,Hayır,-,Daire,-,-,-,6869425,01.02.2019,Güller Pınarı Mahallesi',Alanya,şehir merkezinde sıfır 2+1 amerikan mutfak çatı katı daire,1.200 TL
35419,-,-,110m,,-,1200 TRY,-,-,3,Kiralık,-,90m,-,20 m,Hayır,-,Daire,-,-,-,6868157,01.02.2019,Yeni Mahallesi',Kepez,Han emlakdan yeni mahallede eşyalı kiralık 2+1 katta daire,1.200 TL
35420,-,-,96m,,-,1700 TRY,-,-,4,Kiralık,-,90m,-,-,Hayır,-,Daire,-,-,-,6868887,01.02.2019,Hurma Mahallesi',Konyaaltı,Konyaaltı hurmada güvenlik havuzlu 2+1 full eşyalı kiralık daire,1.700 TL
35421,2,0 (Yeni),130m,,3. Kat,2000 TRY,-,Klimalı,5,Kiralık,Boş,120m,2+1,-,Hayır,Yok,Daire,2,-,-,6786621,01.02.2019,Oba Mahallesi',Alanya,Obagölde ultra lüx eşyalı günlük kiralık daireler,2.000 TL
35422,-,-,75m,,-,-,-,-,3,Kiralık,-,75m,-,-,Hayır,-,Daire,-,-,-,5233692,02.02.2019,Side Mahallesi',Manavgat,Sidede eşyali havuzlu klimali kiralik daire,1.000 TL
35423,1,0 (Yeni),60m,,Yüksek giriş,1000 TRY,-,Klimalı,2,Kiralık,Boş,50m,1+1,25 m,Hayır,Yok,Daire,1,Sıfır,Betonarme,6866052,01.02.2019,Güzeloba Mahallesi',Muratpaşa,Güzeloba da havuzlu sıfır sitede 1+1 kiralık daire,1.000 TL
35424,-,-,105m,,-,-,-,-,12,Kiralık,-,100m,-,-,Hayır,-,Daire,-,-,-,6865827,01.02.2019,Mahmutlar Mahallesi',Alanya,Alanya mahmutlarda 2+1 ayrı mutfaklı sıfır kiralık residence,1.050 TL
35425,2,5-10,130m,,6. Kat,3000 TRY,-,Klimalı,10,Kiralık,Boş,120m,2+1,-,Hayır,-,Daire,-,-,-,6867621,01.02.2019,Cikcilli Mahallesi',Alanya,5m migros arkasında ful aktiviteli site içerisinde eşyalı daire,3.000 TL
35426,1,5-10,120m,,3. Kat,2250 TRY,-,Klimalı,10,Kiralık,Boş,110m,2+1,-,Hayır,-,Daire,-,-,-,6867606,01.02.2019,Cumhuriyet Mahallesi',Alanya,Alanyum avm yanında site içi eşyalı havuzlu temiz 2+1 daire,2.250 TL
35427,-,-,45m,,-,550 TRY,-,-,4,Kiralık,-,40m,-,14 m,Hayır,-,Daire,-,-,-,6867056,01.02.2019,Kültür Mahallesi',Kepez,Kültür mah de çok ucuz 2+0 apart daire,550 TL
35428,1,11-20,115m,,3. Kat,-,-,Klimalı,3,Kiralık,Boş,110m,2+1,-,Hayır,Yok,Daire,-,İkinci El,-,6864140,31.01.2019,Emek Mahallesi',Kepez,Emek mahallesinde 2+1 ulaşım sorunu olmayan kiralık daire,750 TL
35429,-,-,65m,,-,500 TRY,-,-,4,Kiralık,-,60m,-,-,Hayır,-,Daire,-,-,-,6844622,01.02.2019,Arapsuyu Mahallesi',Konyaaltı,Konyaaltı arapsuyunda 1+1 full eşyalı kısa dönem kiralık daire,1.500 TL
35430,-,-,60m,,-,1250 TRY,-,-,3,Kiralık,-,45m,-,-,Hayır,-,Daire,-,-,-,6861096,01.02.2019,Toros Mahallesi',Konyaaltı,Akdeniz üniversitesine yakın toros mah de 1+1 kiralık daire,1.250 TL
35431,1,11-20,145m,,6. Kat,900 TRY,-,Isıtma yok,8,Kiralık,Boş,140m,3+1,-,Evet,-,Daire,2,-,-,6861993,01.02.2019,Zafer Mahallesi',Kepez,Dünyagöz hastanesi yanı 3+1 geniş kiralık daire,900 TL
35432,1,3,100m,,2. Kat,-,-,Klimalı,4,Kiralık,Boş,100m,2+1,-,Hayır,-,Daire,-,-,-,6640355,31.01.2019,Liman Mahallesi',Konyaaltı,Konyaaltı liman da denize 500 metre 2+1 eşya kiralık daire,2.500 TL
35433,1,0 (Yeni),90m,,1. Kat,-,-,Sobalı,2,Kiralık,Boş,80m,2+1,-,Hayır,Yok,Daire,2,Sıfır,-,6862186,02.02.2019,Esentepe Mahallesi',Kepez,Kepez esentepe de kiralık 2+1 daire,700 TL
35434,-,-,100m,,-,1300 TRY,-,-,4,Kiralık,-,96m,-,-,Hayır,-,Daire,-,-,-,6858660,01.02.2019,Hurma Mahallesi',Konyaaltı,Konyaaltı hurmada havuzlu 2+1 full eşyalı kiralık daire,1.300 TL
35435,-,-,75m,,-,1500 TRY,-,-,3,Kiralık,-,65m,-,-,Hayır,-,Daire,-,-,-,6859225,31.01.2019,Güzeloba Mahallesi',Muratpaşa,Lara örnekköy de 2+1 eşyalı kiralık daire,1.500 TL
35436,-,-,200m,,-,4800 TRY,-,-,2,Kiralık,-,180m,-,25 m,Hayır,-,Daire,-,-,-,6857849,01.02.2019,Gürsu Mahallesi',Konyaaltı,Antalya konyaaltı gürsu mah ful eşyalı dublex,2.400 TL
35437,-,-,60m,,-,1550 TRY,-,-,2,Kiralık,-,50m,-,17 m,Hayır,-,Daire,-,-,-,6858599,01.02.2019,Güzeloba Mahallesi',Muratpaşa,Güzelobada havuzlu kapalı otoparklı müstakil bahçeli 1+1 kiralık,1.550 TL
35438,2,11-20,210m,,Çatı Dubleks,1300 TRY,-,Güneş Enerjisi,3,Kiralık,Boş,200m,4+2,-,Hayır,-,Daire,-,-,-,6859759,01.02.2019,Güller Pınarı Mahallesi',Alanya,Alanya merkezde otoparklı 3 kat 4+2 200 m2 dublex daire,1.300 TL
35439,-,-,100m,,-,1300 TRY,-,-,4,Kiralık,-,96m,-,-,Hayır,-,Daire,-,-,-,6859171,01.02.2019,Liman Mahallesi',Konyaaltı,Konyaaltı limanda çok temiz full eşyalı kiralık daire,1.300 TL
35440,-,-,120m,,-,-,-,-,12,Kiralık,-,120m,-,-,Evet,-,Daire,-,-,-,5056015,01.02.2019,Mahmutlar Mahallesi',Alanya,2+1 deniz mazaralı full eşyalı daire,2.000 TL
35441,-,-,80m,,-,1200 TRY,-,-,4,Kiralık,-,65m,-,-,Hayır,-,Daire,-,-,-,6858817,01.02.2019,Hurma Mahallesi',Konyaaltı,Hurma merkezde eşyalı kiralık 1+1,1.200 TL
35442,1,20 ve üzeri,90m,,3. Kat,1200 TRY,Boş,Isıtma yok,4,Kiralık,Boş,75m,2+1,-,Hayır,Yok,Daire,2,İkinci El,Betonarme,6857396,01.02.2019,Deniz Mahallesi',Muratpaşa,Konyaaltı caddesi deniz mah  de deniz görür kiralık 2+1 daire,1.200 TL
35443,-,-,160m,,-,1000 TRY,-,-,3,Kiralık,-,140m,-,35 m,Evet,-,Daire,-,-,-,6855777,02.02.2019,Güzeloba Mahallesi',Muratpaşa,Antalya muratpaşa güzelobada sitede 3+1 çatı dublex,1.000 TL
35444,-,-,100m,,-,2000 TRY,-,-,4,Kiralık,-,96m,-,-,Hayır,-,Daire,-,-,-,6857185,01.02.2019,Hurma Mahallesi',Konyaaltı,Konyaaltı hurmada havuzlu luks sitede full eşyalı kiralık daire,2.000 TL
35445,1,0 (Yeni),70m,,Yüksek giriş,-,-,Kombi Doğalgaz,4,Kiralık,Boş,65m,1+1,-,Hayır,-,Daire,-,Yapım Aşamasında,-,6097123,31.01.2019,Liman Mahallesi',Konyaaltı,Konyaaltı liman mahallesinde 1+1 sıfır kıralık daire,1.250 TL
35446,-,-,100m,,-,1700 TRY,-,-,4,Kiralık,-,100m,-,-,Hayır,-,Daire,-,-,-,6700267,01.02.2019,Liman Mahallesi',Konyaaltı,Konyaaltı limanda 2+1 dubleks eşyalı kiralık daire,1.700 TL
35447,-,-,55m,,-,600 TRY,-,-,3,Kiralık,-,45m,-,-,Hayır,-,Daire,-,-,-,6855222,31.01.2019,Güzeloba Mahallesi',Muratpaşa,örnekköy de 1+0 eşyalı kiralık daire,600 TL
35448,1,5-10,150m,,Yüksek giriş,1500 TRY,Boş,Klimalı,10,Kiralık,Boş,140m,3+1,40 m,Hayır,Yok,Daire,2,İkinci El,Betonarme,6857589,01.02.2019,Uncalı Mahallesi',Konyaaltı,Uncalı  da sitede 3+1 kiralık daire,1.500 TL
35449,3,11-20,500m,,Villa tipi,-,-,Kombi Fueloil,3,Kiralık,Boş,420m,6+1,50 m,Hayır,-,Daire,4,İkinci El,-,6852734,01.02.2019,Duacı Mahallesi',Kepez,Duacı da modern sitede 6+1 kiralık triplex - for rent - a laouer,3.000 TL
35450,-,-,145m,,-,-,-,-,5,Kiralık,-,135m,-,27 m,Hayır,-,Daire,-,-,-,6853711,01.02.2019,Sedir Mahallesi',Muratpaşa,Sedir mh cd üzeri 3+1 135m2 katta asansörlü kiralık daire,800 TL
35451,1,3,45m,,1. Kat,-,-,Klimalı,3,Kiralık,Boş,40m,1+1,25 m,Hayır,Yok,Daire,1,İkinci El,Betonarme,6853759,02.02.2019,Kültür Mahallesi',Kepez,Prestij emlaktan antalya kültür de 1+1 eşyalı kiralık daire,900 TL
